time,open,high,low,close,tick_volume,spread,real_volume
2022-07-18,20947.44,22746.06,20737.99,21510.5,238368,810,0
2022-07-19,21460.13,23701.74,21431.5,23306.1,223658,801,0
2022-07-20,23291.6,24276.86,22895.81,23289.41,221425,806,0
2022-07-21,23303.91,23780.36,22330.06,23146.75,208498,801,0
2022-07-22,23083.25,23753.03,22492.76,22550.64,191162,803,0
2022-07-25,22742.16,23011.13,21549.04,22161.25,175470,819,0
2022-07-26,22131.32,22164.75,20705.32,20961.61,168570,825,0
2022-07-27,21009.19,23106.74,20808.68,22775.0,167576,850,0
2022-07-28,22691.33,24203.78,22573.51,24020.41,178717,803,0
2022-07-29,24087.91,24436.26,23425.25,23932.28,174697,805,0
2022-08-01,23788.99,23819.74,22845.58,23041.75,191077,801,0
2022-08-02,23092.48,23459.11,22649.41,23025.75,211987,810,0
2022-08-03,23013.1,23639.0,22685.75,23333.0,173556,801,0
2022-08-04,23361.06,23361.9,22376.56,22499.0,192859,855,0
2022-08-05,22532.41,23463.39,22437.62,22962.75,169829,807,0
2022-08-08,23326.58,24244.75,23054.69,24092.25,188423,813,0
2022-08-09,24000.85,24017.85,22858.68,23143.55,161803,825,0
2022-08-10,23177.9,24190.11,22653.08,23885.26,163036,803,0
2022-08-11,23818.48,24916.99,23771.26,24232.5,168526,814,0
2022-08-12,24199.88,24320.3,23585.75,24195.32,157828,801,0
2022-08-15,24267.7,25213.47,23875.74,24078.5,183103,802,0
2022-08-16,24066.94,24247.0,23658.0,23989.75,267149,825,0
2022-08-17,23976.38,24442.0,23172.75,23418.75,263789,806,0
2022-08-18,23351.32,23591.75,23226.96,23421.12,289983,826,0
2022-08-19,23411.07,23423.75,21140.6,21271.5,357085,801,0
2022-08-22,21525.28,21702.83,20887.37,21092.0,213098,825,0
2022-08-23,21087.29,21680.0,20885.8,21480.25,220753,808,0
2022-08-24,21485.54,21898.45,21145.5,21697.25,209560,825,0
2022-08-25,21678.02,21808.75,21302.75,21638.0,202135,836,0
2022-08-26,21647.58,21873.53,20530.77,20647.75,189854,850,0
2022-08-29,19982.97,20417.5,19510.82,20163.25,213037,806,0
2022-08-30,20154.57,20572.25,19534.25,19956.75,237581,875,0
2022-08-31,19925.62,20489.53,19744.0,20209.25,257067,836,0
2022-09-01,20168.48,20286.34,19555.25,20072.0,342384,805,0
2022-09-02,20041.98,20437.0,19750.5,19908.75,314847,825,0
2022-09-05,19868.76,20059.4,19632.0,19746.75,154459,825,0
2022-09-06,19734.62,20178.86,18651.53,18954.25,326864,801,0
2022-09-07,19004.06,19450.5,18523.76,19395.07,178763,825,0
2022-09-08,19417.61,19463.0,19010.99,19378.0,258482,833,0
2022-09-09,19349.53,21435.44,19249.5,21257.6,243623,816,0
2022-09-12,21646.5,22487.37,21442.17,22408.5,196229,822,0
2022-09-13,22398.3,22793.37,20040.56,20231.75,375778,819,0
2022-09-14,20146.86,20519.55,19605.54,19947.5,288146,810,0
2022-09-15,19915.52,20391.16,19480.82,19831.75,268729,808,0
2022-09-16,19819.24,19891.99,19321.07,19734.75,259805,825,0
2022-09-19,19666.78,19694.28,18253.87,19513.0,262095,825,0
2022-09-20,19502.24,19682.25,18711.84,18960.5,252493,825,0
2022-09-21,18942.19,19909.42,18653.78,18886.75,259387,819,0
2022-09-22,18861.46,19491.5,18132.39,19242.75,303523,808,0
2022-09-23,19256.31,19518.62,18522.81,18884.0,281517,834,0
2022-09-26,18891.79,19309.5,18619.75,19116.0,242275,825,0
2022-09-27,19096.76,20377.09,18811.55,19047.0,308186,803,0
2022-09-28,18994.01,19655.03,18459.87,19564.0,278800,802,0
2022-09-29,19564.31,19767.98,18840.56,19489.25,265052,807,0
2022-09-30,19490.25,20181.5,19134.25,19400.25,197128,836,0
2022-10-03,19213.55,19647.75,18915.98,19590.0,234794,801,0
2022-10-04,19560.31,20455.08,19492.0,20355.0,247039,900,0
2022-10-05,20378.73,20404.0,19737.28,20016.5,213880,825,0
2022-10-06,20003.5,20445.0,19871.25,20039.25,269357,814,0
2022-10-07,20016.18,20066.0,19315.83,19527.75,192566,801,0
2022-10-10,19469.65,19527.0,19086.67,19235.75,219672,820,0
2022-10-11,19265.81,19266.5,18847.23,19015.5,199690,814,0
2022-10-12,19010.06,19197.25,18967.89,19158.0,169156,825,0
2022-10-13,19174.69,19504.22,18139.64,19381.75,124517,801,0
2022-10-14,19387.62,19943.79,19108.11,19171.5,151696,808,0
2022-10-17,19326.55,19674.25,19095.19,19523.5,158674,890,0
2022-10-18,19503.63,19700.25,19085.0,19370.0,161151,825,0
2022-10-19,19349.27,19371.5,19064.0,19197.0,157553,805,0
2022-10-20,19198.21,19343.5,18883.56,19021.5,183324,425,0
2022-10-21,18992.6,19248.75,18655.18,19166.75,139755,825,0
2022-10-24,19493.35,19696.25,19152.25,19372.0,152432,0,0
2022-10-25,19382.0,20415.55,19234.25,20192.75,158862,825,0
2022-10-26,20167.92,21017.92,19999.5,20754.75,179787,825,0
2022-10-27,20731.58,20910.0,20243.9,20407.25,159052,0,0
2022-10-28,20386.5,20753.5,19953.51,20644.63,158821,821,0
2022-10-31,20692.0,20825.0,20226.0,20398.0,39643,1600,0
2022-11-01,20393.0,20668.0,20317.0,20467.0,31857,1300,0
2022-11-02,20467.0,20788.0,20090.0,20169.0,33523,2100,0
2022-11-03,20163.0,20378.0,20025.0,20228.0,35308,1500,0
2022-11-04,20226.0,21284.0,20150.0,21111.0,45005,2000,0
2022-11-07,21114.0,21164.0,20579.0,20656.0,43519,1800,0
2022-11-08,20673.0,20673.0,17826.0,18667.0,74458,800,0
2022-11-09,18683.0,18708.0,15622.0,15742.0,156904,1300,0
2022-11-10,15701.0,18123.0,15542.0,17774.0,151871,600,0
2022-11-11,17787.0,17833.0,16328.0,16752.0,125231,1500,0
2022-11-14,16336.0,17134.0,15775.0,16369.0,106984,1000,0
2022-11-15,16360.0,17086.0,16314.0,16862.0,85928,1100,0
2022-11-16,16873.0,16969.0,16337.0,16521.0,72701,2000,0
2022-11-17,16516.0,16729.0,16395.0,16671.0,55623,2000,0
2022-11-18,16670.0,16962.0,16523.0,16632.0,47592,1700,0
2022-11-21,16238.0,16318.0,15453.0,15589.0,94567,1600,0
2022-11-22,15616.0,16270.0,15586.0,16122.0,83415,900,0
2022-11-23,16112.0,16658.0,16066.0,16465.0,77578,1300,0
2022-11-24,16457.0,16775.0,16430.0,16532.0,65337,1800,0
2022-11-25,16530.0,16612.0,16323.0,16494.0,59484,1800,0
2022-11-28,16557.0,16576.0,15977.0,16182.0,72064,1000,0
2022-11-29,16185.0,16524.0,16085.0,16445.0,54712,1600,0
2022-11-30,16447.0,17136.0,16412.0,17090.0,59815,1300,0
2022-12-01,17093.0,17279.0,16846.0,16919.0,55453,1700,0
2022-12-02,16914.0,17096.0,16786.0,17002.0,45800,1800,0
2022-12-05,17102.0,17405.0,16862.0,16957.0,52701,1500,0
2022-12-06,16958.0,17091.0,16903.0,16982.0,33078,1700,0
2022-12-07,16974.0,17122.0,16678.0,16820.0,34356,1800,0
2022-12-08,16816.0,17287.0,16727.0,17166.0,29695,1700,0
2022-12-09,17170.0,17326.0,17051.0,17098.0,22112,1600,0
2022-12-12,17102.0,17206.0,16866.0,17162.0,21161,1600,0
2022-12-13,17167.0,17950.0,17065.0,17736.0,32273,1000,0
2022-12-14,17739.0,18353.0,17651.0,17812.0,44049,1700,0
2022-12-15,17815.0,17844.0,17311.0,17377.0,21831,1500,0
2022-12-16,17386.0,17511.0,16730.0,16815.0,28091,1700,0
2022-12-19,16745.0,16841.0,16511.0,16573.0,19287,1700,0
2022-12-20,16573.0,17045.0,16267.0,16869.0,30405,1400,0
2022-12-21,16868.0,16914.0,16719.0,16772.0,21240,1400,0
2022-12-22,16776.0,16855.0,16550.0,16779.0,20956,1200,0
2022-12-23,16774.0,16912.0,16740.0,16801.0,17150,1700,0
2022-12-27,16820.0,16957.0,16567.0,16679.0,15192,1700,0
