time,open,close,high,low,tick_volume,target_close
2021-11-26,58821.35,54222.09,59347.81,53498.18,155340,58260.61
2021-11-29,56523.91,58260.61,58902.16,56064.88,114331,57111.06
2021-11-30,58353.62,57111.06,59239.84,55903.69,155014,57000.35
2021-12-01,57174.85,57000.35,59088.66,56448.61,127246,56902.43
2021-12-02,57119.31,56902.43,57413.16,55809.96,116727,53721.05
2021-12-03,56784.53,53721.05,57673.66,51516.0,124687,49965.37
2021-12-06,49089.69,49965.37,50578.95,46874.0,145326,50517.47
2021-12-07,50185.13,50517.47,51955.91,50094.94,102460,50602.97
2021-12-08,50393.47,50602.97,51238.17,48621.58,106765,47965.24
2021-12-09,50652.47,47965.24,50832.09,47322.05,115459,47951.97
2021-12-10,48238.24,47951.97,50104.6,47238.53,120790,46864.63
2021-12-13,49974.16,46864.63,50376.2,45669.09,122270,48249.58
2021-12-14,46714.42,48249.58,48653.67,46273.27,121129,49188.85
2021-12-15,48221.58,49188.85,49504.5,46542.41,119860,48131.04
2021-12-16,49129.54,48131.04,49437.74,47654.42,88116,46983.53
2021-12-17,47827.54,46983.53,48010.01,45422.97,107120,46985.96
2021-12-20,46817.03,46985.96,47556.46,45556.41,111788,49045.32
2021-12-21,47051.72,49045.32,49335.85,46644.67,90404,49051.44
2021-12-22,49045.37,49051.44,49571.71,48433.76,79749,50809.29
2021-12-23,49023.37,50809.29,51371.95,48009.58,84184,51007.64
2021-12-24,50785.79,51007.64,51905.29,50414.65,84795,50955.63
2021-12-27,50911.13,50955.63,52109.69,50444.64,77316,47562.31
2021-12-28,51086.72,47562.31,51227.96,47295.71,116737,47196.7
2021-12-29,47605.43,47196.7,48158.54,46568.45,94587,47228.26
2021-12-30,47115.7,47228.26,47922.76,45856.91,88680,46252.29
2021-12-31,47279.76,46252.29,48596.17,45636.0,100115,46012.79
2022-01-03,47096.75,46012.79,47579.18,45669.51,99364,46281.57
2022-01-04,46037.25,46281.57,47521.6,45516.13,89913,43633.57
2022-01-05,46119.89,43633.57,47063.68,43352.65,100549,43094.37
2022-01-06,43655.07,43094.37,43787.51,42396.46,129476,41867.26
2022-01-07,43125.87,41867.26,43234.05,40596.0,129804,41684.02
2022-01-10,42310.03,41684.02,42492.95,39636.02,122675,42669.37
2022-01-11,41794.88,42669.37,43110.22,41251.5,99433,43806.92
2022-01-12,42639.36,43806.92,44346.13,42457.17,91863,42835.82
2022-01-13,43785.92,42835.82,44451.12,42304.29,94193,43345.06
2022-01-14,42815.32,43345.06,43431.67,41762.99,93154,41734.71
2022-01-17,43074.67,41734.71,43292.42,41594.15,81883,42387.24
2022-01-18,41630.21,42387.24,42497.01,41261.7,102446,41728.01
2022-01-19,42294.24,41728.01,42678.2,41126.97,98527,41365.95
2022-01-20,41697.01,41365.95,43504.87,41298.19,86507,36610.72
2022-01-21,41399.06,36610.72,41513.72,36106.03,178334,36808.57
2022-01-24,35346.36,36808.57,37549.35,32902.52,201026,36608.51
